volume,author_id,work_id,book,books_in_osis,chapter_start,verse_start,testament_group,osis_ref,passage
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,11,17,new_testament,Bible:Heb.11.17,Heb. xi. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,19,,old_testament_or_other,Bible:Gen.19,Gen. xix.
volume_1,clement_rome,first_epistle_to_the_corinthians,2Pet,2Pet,2,6,new_testament,Bible:2Pet.2.6-2Pet.2.9,2 Pet. ii. 6–9
volume_1,clement_rome,first_epistle_to_the_corinthians,Josh,Josh,2,,old_testament_or_other,Bible:Josh.2,Josh. ii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,11,31,new_testament,Bible:Heb.11.31,Heb. xi. 31
volume_1,clement_rome,first_epistle_to_the_corinthians,Jer,Jer,9,23,old_testament_or_other,Bible:Jer.9.23-Jer.9.24,"Jer. ix. 23, 24"
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,1,31,new_testament,Bible:1Cor.1.31,1 Cor. i. 31
volume_1,clement_rome,first_epistle_to_the_corinthians,2Cor,2Cor,10,17,new_testament,Bible:2Cor.10.17,2 Cor. x. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,6,12,new_testament,Bible:Matt.6.12-Matt.6.15,Matt. vi. 12–15
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,7,2,new_testament,Bible:Matt.7.2,Matt. vii. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Luke,Luke,6,36,new_testament,Bible:Luke.6.36-Luke.6.38,Luke vi. 36–38
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,66,2,old_testament_or_other,Bible:Isa.66.2,Isa. lxvi. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,2,21,old_testament_or_other,Bible:Prov.2.21-Prov.2.22,"Prov. ii. 21, 22"
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,37,35,old_testament_or_other,Bible:Ps.37.35-Ps.37.37,Ps. xxxvii. 35–37
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,29,13,old_testament_or_other,Bible:Isa.29.13,Isa. xxix. 13
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,15,8,new_testament,Bible:Matt.15.8,Matt. xv. 8
volume_1,clement_rome,first_epistle_to_the_corinthians,Mark,Mark,7,6,new_testament,Bible:Mark.7.6,Mark vii. 6
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,62,4,old_testament_or_other,Bible:Ps.62.4,Ps. lxii. 4
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,78,36,old_testament_or_other,Bible:Ps.78.36-Ps.78.37,"Ps. lxxviii. 36, 37"
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,31,18,old_testament_or_other,Bible:Ps.31.18,Ps. xxxi. 18
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,12,3,old_testament_or_other,Bible:Ps.12.3-Ps.12.5,Ps. xii. 3–5
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,53,,old_testament_or_other,Bible:Isa.53,Isa. liii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,22,6,old_testament_or_other,Bible:Ps.22.6-Ps.22.8,Ps. xxii. 6–8
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,11,37,new_testament,Bible:Heb.11.37,Heb. xi. 37
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,18,27,old_testament_or_other,Bible:Gen.18.27,Gen. xviii. 27
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,1,1,old_testament_or_other,Bible:Job.1.1,Job i. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,14,4,old_testament_or_other,Bible:Job.14.4-Job.14.5,"Job xiv. 4, 5"
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,12,7,old_testament_or_other,Bible:Num.12.7,Num. xii. 7
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,3,2,new_testament,Bible:Heb.3.2,Heb. iii. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,3,11,old_testament_or_other,Bible:Exod.3.11,Ex. iii. 11
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,4,10,old_testament_or_other,Bible:Exod.4.10,Ex. iv. 10
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,119,83,old_testament_or_other,Bible:Ps.119.83,Ps. cxix. 83
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,89,21,old_testament_or_other,Bible:Ps.89.21,Ps. lxxxix. 21
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,51,1,old_testament_or_other,Bible:Ps.51.1-Ps.51.17,Ps. li. 1–17
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,12,1,new_testament,Bible:Heb.12.1,Heb. xii. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,38,11,old_testament_or_other,Bible:Job.38.11,Job xxxviii. 11
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,20,27,old_testament_or_other,Bible:Prov.20.27,Prov. xx. 27
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,13,17,new_testament,Bible:Heb.13.17,Heb. xiii. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,1Thess,1Thess,5,12,new_testament,Bible:1Thess.5.12-1Thess.5.13,"1 Thess. v. 12, 13"
volume_1,clement_rome,first_epistle_to_the_corinthians,1Tim,1Tim,5,21,new_testament,Bible:1Tim.5.21,1 Tim. v. 21
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,34,11,old_testament_or_other,Bible:Ps.34.11-Ps.34.17,Ps. xxxiv. 11–17
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,32,10,old_testament_or_other,Bible:Ps.32.10,Ps. xxxii. 10
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,1,8,new_testament,Bible:Jas.1.8,Jas. i. 8
volume_1,clement_rome,first_epistle_to_the_corinthians,2Pet,2Pet,3,3,new_testament,Bible:2Pet.3.3-2Pet.3.4,"2 Pet. iii. 3, 4"
volume_1,clement_rome,first_epistle_to_the_corinthians,Hab,Hab,2,3,old_testament_or_other,Bible:Hab.2.3,Hab. ii. 3
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,10,37,new_testament,Bible:Heb.10.37,Heb. x. 37
volume_1,clement_rome,first_epistle_to_the_corinthians,Mal,Mal,3,1,old_testament_or_other,Bible:Mal.3.1,Mal. iii. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,15,20,new_testament,Bible:1Cor.15.20,1 Cor. xv. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,Col,Col,1,18,new_testament,Bible:Col.1.18,Col. i. 18
volume_1,clement_rome,first_epistle_to_the_corinthians,Luke,Luke,8,5,new_testament,Bible:Luke.8.5,Luke viii. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,28,7,old_testament_or_other,Bible:Ps.28.7,Ps. xxviii. 7
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,3,6,old_testament_or_other,Bible:Ps.3.6,Ps. iii. 6
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,19,25,old_testament_or_other,Bible:Job.19.25-Job.19.26,"Job xix. 25, 26"
volume_1,clement_rome,first_epistle_to_the_corinthians,Titus,Titus,1,2,new_testament,Bible:Titus.1.2,Tit. i. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,6,18,new_testament,Bible:Heb.6.18,Heb. vi. 18
volume_1,clement_rome,first_epistle_to_the_corinthians,Wis,Wis,12,12,deuterocanonical,Bible:Wis.12.12,Wisdom xii. 12
volume_1,clement_rome,first_epistle_to_the_corinthians,Wis,Wis,11,22,deuterocanonical,Bible:Wis.11.22,Wisdom xi. 22
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,24,35,new_testament,Bible:Matt.24.35,Matt. xxiv. 35
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,19,1,old_testament_or_other,Bible:Ps.19.1-Ps.19.3,Ps. xix. 1–3
volume_1,clement_rome,first_epistle_to_the_corinthians,Deut,Deut,32,8,old_testament_or_other,Bible:Deut.32.8-Deut.32.9,"Deut. xxxii. 8, 9"
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,18,27,old_testament_or_other,Bible:Num.18.27,Num. xviii. 27
volume_1,clement_rome,first_epistle_to_the_corinthians,2Chr,2Chr,31,14,old_testament_or_other,Bible:2Chr.31.14,2 Chron. xxxi. 14
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,3,34,old_testament_or_other,Bible:Prov.3.34,Prov. iii. 34
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,4,6,new_testament,Bible:Jas.4.6,Jas. iv. 6
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,11,2,old_testament_or_other,Bible:Job.11.2-Job.11.3,"Job xi. 2, 3"
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,2,21,new_testament,Bible:Jas.2.21,Jas. ii. 21
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,22,,old_testament_or_other,Bible:Gen.22,Gen. xxii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,9,5,new_testament,Bible:Rom.9.5,Rom. ix. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,22,17,old_testament_or_other,Bible:Gen.22.17,Gen. xxii. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,28,4,old_testament_or_other,Bible:Gen.28.4,Gen. xxviii. 4
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,1,26,old_testament_or_other,Bible:Gen.1.26-Gen.1.27,"Gen. i. 26, 27"
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,1,28,old_testament_or_other,Bible:Gen.1.28,Gen. i. 28
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,40,10,old_testament_or_other,Bible:Isa.40.10,Isa. xl. 10
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,62,11,old_testament_or_other,Bible:Isa.62.11,Isa. lxii. 11
volume_1,clement_rome,first_epistle_to_the_corinthians,Rev,Rev,22,12,new_testament,Bible:Rev.22.12,Rev. xxii. 12
volume_1,clement_rome,first_epistle_to_the_corinthians,Dan,Dan,7,10,old_testament_or_other,Bible:Dan.7.10,Dan. vii. 10
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,6,3,old_testament_or_other,Bible:Isa.6.3,Isa. vi. 3
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,2,9,new_testament,Bible:1Cor.2.9,1 Cor. ii. 9
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,1,32,new_testament,Bible:Rom.1.32,Rom. i. 32
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,50,16,old_testament_or_other,Bible:Ps.50.16-Ps.50.23,Ps. l. 16–23
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,1,3,new_testament,Bible:Heb.1.3-Heb.1.4,"Heb. i. 3, 4"
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,104,4,old_testament_or_other,Bible:Ps.104.4,Ps. civ. 4
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,1,7,new_testament,Bible:Heb.1.7,Heb. i. 7
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,2,7,old_testament_or_other,Bible:Ps.2.7-Ps.2.8,"Ps. ii. 7, 8"
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,1,5,new_testament,Bible:Heb.1.5,Heb. i. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,110,1,old_testament_or_other,Bible:Ps.110.1,Ps. cx. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,1,13,new_testament,Bible:Heb.1.13,Heb. i. 13
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,12,12,new_testament,Bible:1Cor.12.12,1 Cor. xii. 12
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,27,2,old_testament_or_other,Bible:Prov.27.2,Prov. xxvii. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,139,15,old_testament_or_other,Bible:Ps.139.15,Ps. cxxxix. 15
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,4,16,old_testament_or_other,Bible:Job.4.16-Job.4.18,Job iv. 16–18
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,15,15,old_testament_or_other,Bible:Job.15.15,Job xv. 15
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,4,19,old_testament_or_other,Bible:Job.4.19-Job.4.21,Job iv. 19–21
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,5,1,old_testament_or_other,Bible:Job.5.1-Job.5.5,Job v. 1–5
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,16,1,new_testament,Bible:1Cor.16.1-1Cor.16.2,"1 Cor. xvi. 1, 2"
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,15,15,new_testament,Bible:Rom.15.15-Rom.15.16,"Rom. xv. 15, 16"
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,60,17,old_testament_or_other,Bible:Isa.60.17,Isa. lx. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,3,5,new_testament,Bible:Heb.3.5,Heb. iii. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,17,,old_testament_or_other,Bible:Num.17,Num. xvii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Dan,Dan,6,16,old_testament_or_other,Bible:Dan.6.16,Dan. vi. 16
volume_1,clement_rome,first_epistle_to_the_corinthians,Dan,Dan,3,20,old_testament_or_other,Bible:Dan.3.20,Dan. iii. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,18,25,old_testament_or_other,Bible:Ps.18.25-Ps.18.26,"Ps. xviii. 25, 26"
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,4,1,new_testament,Bible:Jas.4.1,Jas. iv. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,Eph,Eph,4,4,new_testament,Bible:Eph.4.4-Eph.4.6,Eph. iv. 4–6
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,12,5,new_testament,Bible:Rom.12.5,Rom. xii. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,18,6,new_testament,Bible:Matt.18.6,Matt. xviii. 6
volume_1,clement_rome,first_epistle_to_the_corinthians,Matt,Matt,26,24,new_testament,Bible:Matt.26.24,Matt. xxvi. 24
volume_1,clement_rome,first_epistle_to_the_corinthians,Mark,Mark,9,42,new_testament,Bible:Mark.9.42,Mark ix. 42
volume_1,clement_rome,first_epistle_to_the_corinthians,Luke,Luke,17,2,new_testament,Bible:Luke.17.2,Luke xvii. 2
volume_1,clement_rome,first_epistle_to_the_corinthians,Phil,Phil,4,15,new_testament,Bible:Phil.4.15,Phil. iv. 15
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,3,13,new_testament,Bible:1Cor.3.13,1 Cor. iii. 13
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,118,19,old_testament_or_other,Bible:Ps.118.19-Ps.118.20,"Ps. cxviii. 19, 20"
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,5,20,new_testament,Bible:Jas.5.20,Jas. v. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,1Pet,1Pet,4,8,new_testament,Bible:1Pet.4.8,1 Pet. iv. 8
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor,13,4,new_testament,Bible:1Cor.13.4,1 Cor. xiii. 4
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,26,20,old_testament_or_other,Bible:Isa.26.20,Isa. xxvi. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,32,1,old_testament_or_other,Bible:Ps.32.1-Ps.32.2,"Ps. xxxii. 1, 2"
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,16,,old_testament_or_other,Bible:Num.16,Num. xvi.
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,14,,old_testament_or_other,Bible:Exod.14,Ex. xiv.
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,69,31,old_testament_or_other,Bible:Ps.69.31-Ps.69.32,"Ps. lxix. 31, 32"
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,50,14,old_testament_or_other,Bible:Ps.50.14-Ps.50.15,"Ps. l. 14, 15"
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,51,17,old_testament_or_other,Bible:Ps.51.17,Ps. li. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,32,7,old_testament_or_other,Bible:Exod.32.7,Ex. xxxii. 7
volume_1,clement_rome,first_epistle_to_the_corinthians,Deut,Deut,9,12,old_testament_or_other,Bible:Deut.9.12,Deut. ix. 12
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,32,9,old_testament_or_other,Bible:Exod.32.9,Ex. xxxii. 9
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,32,32,old_testament_or_other,Bible:Exod.32.32,Ex. xxxii. 32
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,24,1,old_testament_or_other,Bible:Ps.24.1,Ps. xxiv. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,1Cor,1Cor|1Cor,10,26,new_testament,Bible:1Cor.10.26 Bible:1Cor.10.28,"1 Cor. x. 26, 28"
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,16,3,new_testament,Bible:Rom.16.3-Rom.16.4,"Rom. xvi. 3, 4"
volume_1,clement_rome,first_epistle_to_the_corinthians,Phil,Phil,2,30,new_testament,Bible:Phil.2.30,Phil. ii. 30
volume_1,clement_rome,first_epistle_to_the_corinthians,Jdt,Jdt,8,30,deuterocanonical,Bible:Jdt.8.30,Judith viii. 30
volume_1,clement_rome,first_epistle_to_the_corinthians,Esth,Esth|Esth,7,,old_testament_or_other,Bible:Esth.7 Bible:Esth.8,"Esth. vii., viii."
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,118,18,old_testament_or_other,Bible:Ps.118.18,Ps. cxviii. 18
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,3,12,old_testament_or_other,Bible:Prov.3.12,Prov. iii. 12
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,12,6,new_testament,Bible:Heb.12.6,Heb. xii. 6
volume_1,clement_rome,first_epistle_to_the_corinthians,Ps,Ps,141,5,old_testament_or_other,Bible:Ps.141.5,Ps. cxli. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Job,Job,5,17,old_testament_or_other,Bible:Job.5.17-Job.5.26,Job v. 17–26
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,1,23,old_testament_or_other,Bible:Prov.1.23-Prov.1.31,Prov. i. 23–31
volume_1,clement_rome,first_epistle_to_the_corinthians,Titus,Titus,2,14,new_testament,Bible:Titus.2.14,Tit. ii. 14
volume_1,clement_rome,first_epistle_to_the_corinthians,2Tim,2Tim,4,21,new_testament,Bible:2Tim.4.21,2 Tim. iv. 21
volume_1,mathetes,epistle_of_mathetes_to_diognetus,2Tim,2Tim,2,24,new_testament,Bible:2Tim.2.24,2 Tim. ii. 24
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Gal,Gal,4,10,new_testament,Bible:Gal.4.10,Gal. iv. 10
volume_1,mathetes,epistle_of_mathetes_to_diognetus,2Cor,2Cor,10,3,new_testament,Bible:2Cor.10.3,2 Cor. x. 3
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Phil,Phil,3,20,new_testament,Bible:Phil.3.20,Phil. iii. 20
volume_1,mathetes,epistle_of_mathetes_to_diognetus,2Cor,2Cor,6,9,new_testament,Bible:2Cor.6.9,2 Cor. vi. 9
volume_1,mathetes,epistle_of_mathetes_to_diognetus,2Cor,2Cor,6,10,new_testament,Bible:2Cor.6.10,2 Cor. vi. 10
volume_1,mathetes,epistle_of_mathetes_to_diognetus,2Cor,2Cor,4,12,new_testament,Bible:2Cor.4.12,2 Cor. iv. 12
volume_1,mathetes,epistle_of_mathetes_to_diognetus,John,John,17,11,new_testament,Bible:John.17.11-John.17.16,"John xvii. 11, 14, 16"
volume_1,mathetes,epistle_of_mathetes_to_diognetus,1Pet,1Pet,2,11,new_testament,Bible:1Pet.2.11,1 Pet. ii. 11
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Mal,Mal,3,2,old_testament_or_other,Bible:Mal.3.2,Mal. iii. 2
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Matt,Matt,19,17,new_testament,Bible:Matt.19.17,Matt. xix. 17
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Rom,Rom,3,21,new_testament,Bible:Rom.3.21-Rom.3.26,Rom. iii. 21–26
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Rom,Rom,5,20,new_testament,Bible:Rom.5.20,Rom. v. 20
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Gal,Gal,4,4,new_testament,Bible:Gal.4.4,Gal. iv. 4
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Acts,Acts,17,30,new_testament,Bible:Acts.17.30,Acts xvii. 30
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Isa,Isa,53,11,old_testament_or_other,Bible:Isa.53.11,Isa. liii. 11
volume_1,mathetes,epistle_of_mathetes_to_diognetus,Matt,Matt,6,25,new_testament,Bible:Matt.6.25,Matt. vi. 25
